2 10 100 0.400000	0.603678 0.819501	0.503851 0.968370	0.110707 0.214708	0.085180 0.268086	0.098654 0.429328	0.097615 0.422320	
2 10 100 0.410000	0.122321 0.008902	0.985028 0.002190	0.109724 0.009902	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.420000	0.115464 0.006573	0.986662 0.001517	0.102484 0.009998	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.430000	0.114996 0.009860	0.986762 0.002280	0.086040 0.009395	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.440000	0.109897 0.008378	0.987910 0.001845	0.081307 0.009873	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.450000	0.107355 0.002216	0.988474 0.000476	0.072145 0.009885	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.460000	0.105981 0.008180	0.988760 0.001754	0.069135 0.009846	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.470000	0.103291 0.008631	0.989322 0.001763	0.069300 0.009971	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.480000	0.102394 0.007567	0.989509 0.001537	0.056536 0.009987	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.490000	0.102351 0.009838	0.989512 0.002001	0.062419 0.009704	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.500000	0.102980 0.004811	0.989392 0.000989	0.049901 0.009301	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.510000	0.102984 0.008647	0.989385 0.001786	0.045406 0.009882	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.520000	0.102940 0.008204	0.989392 0.001684	0.046833 0.009699	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.530000	0.099048 0.009938	0.990175 0.001993	0.044852 0.009120	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.540000	0.095482 0.007320	0.990876 0.001397	0.039247 0.009785	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.550000	0.092250 0.006317	0.991484 0.001168	0.038298 0.009062	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
