2 10 100 0.000000	0.997328 0.003801	0.005336 0.007580	0.000458 0.002290	0.002233 0.004450	0.003322 0.009869	0.003212 0.008323	
2 10 100 0.010000	0.998389 0.004894	0.003215 0.009763	0.000970 0.004849	0.000000 0.000000	0.001953 0.009763	0.000000 0.000000	
2 10 100 0.020000	0.998389 0.004894	0.003215 0.009763	0.000970 0.004849	0.000000 0.000000	0.001953 0.009763	0.000000 0.000000	
2 10 100 0.030000	0.998233 0.004999	0.003527 0.009973	0.001995 0.009973	0.002057 0.009269	0.003323 0.009973	0.000348 0.001738	
2 10 100 0.040000	0.998233 0.004999	0.003527 0.009973	0.001995 0.009973	0.002057 0.009269	0.003323 0.009973	0.000348 0.001738	
2 10 100 0.050000	0.998233 0.004999	0.003527 0.009973	0.001995 0.009973	0.002057 0.009269	0.003323 0.009973	0.000348 0.001738	
2 10 100 0.060000	0.998233 0.004999	0.003527 0.009973	0.001995 0.009973	0.002057 0.009269	0.003323 0.009973	0.000348 0.001738	
2 10 100 0.070000	0.998215 0.004971	0.003563 0.009917	0.000629 0.003144	0.001130 0.005649	0.002142 0.004425	0.000695 0.003474	
2 10 100 0.080000	0.997662 0.004959	0.004666 0.009894	0.000834 0.004169	0.000000 0.000000	0.002817 0.009894	0.004666 0.009894	
2 10 100 0.090000	0.998999 0.005005	0.001997 0.009985	0.001997 0.009985	0.001997 0.009985	0.001997 0.009985	0.000000 0.000000	
2 10 100 0.100000	0.998472 0.005003	0.003051 0.009980	0.000286 0.001430	0.000865 0.004324	0.001055 0.003844	0.000000 0.000000	
2 10 100 0.110000	0.997772 0.004614	0.004447 0.009207	0.000090 0.000451	0.001654 0.008268	0.000956 0.004779	0.001841 0.009207	
2 10 100 0.120000	0.998540 0.005002	0.002915 0.009979	0.001996 0.009979	0.002277 0.009979	0.001996 0.009979	0.001996 0.009979	
2 10 100 0.130000	0.998931 0.004801	0.002132 0.009578	0.000000 0.000000	0.000000 0.000000	0.001524 0.007621	0.001916 0.009578	
2 10 100 0.140000	0.998798 0.004998	0.002399 0.009972	0.000405 0.002026	0.000000 0.000000	0.000405 0.002026	0.000405 0.002026	
2 10 100 0.150000	0.998802 0.005000	0.002390 0.009975	0.001297 0.006487	0.001692 0.006487	0.002390 0.009975	0.000395 0.001975	
2 10 100 0.160000	0.997337 0.004842	0.005316 0.009659	0.002034 0.009853	0.001816 0.004814	0.003269 0.009853	0.001866 0.004814	
2 10 100 0.170000	0.998437 0.004956	0.003121 0.009887	0.000252 0.001259	0.000000 0.000000	0.001143 0.003795	0.001143 0.003795	
2 10 100 0.180000	0.998619 0.004999	0.002755 0.009973	0.001995 0.009973	0.000761 0.003804	0.002755 0.009973	0.002755 0.009973	
2 10 100 0.190000	0.998445 0.004878	0.003105 0.009731	0.000465 0.002006	0.000063 0.000317	0.001659 0.004361	0.002010 0.009731	
2 10 100 0.200000	0.999018 0.004910	0.001959 0.009795	0.000000 0.000000	0.001959 0.009795	0.000000 0.000000	0.001099 0.005495	
2 10 100 0.210000	0.998616 0.005010	0.002762 0.009994	0.000064 0.000321	0.000699 0.003497	0.002293 0.007966	0.000064 0.000321	
2 10 100 0.220000	0.998737 0.005002	0.002520 0.009979	0.001381 0.006907	0.000000 0.000000	0.000095 0.000475	0.000114 0.000572	
2 10 100 0.230000	0.998998 0.005008	0.001998 0.009990	0.001998 0.009990	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.240000	0.998443 0.004961	0.003109 0.009897	0.001979 0.009897	0.002582 0.009897	0.000527 0.002633	0.000000 0.000000	
2 10 100 0.250000	0.998729 0.004994	0.002536 0.009963	0.001052 0.002717	0.000000 0.000000	0.000543 0.002717	0.001993 0.009963	
2 10 100 0.260000	0.997109 0.003756	0.005773 0.007488	0.005302 0.009839	0.002600 0.005440	0.000470 0.002350	0.002597 0.005456	
2 10 100 0.270000	0.998999 0.005007	0.001998 0.009989	0.000000 0.000000	0.000000 0.000000	0.001329 0.006643	0.000000 0.000000	
2 10 100 0.280000	0.998475 0.004992	0.003043 0.009959	0.002737 0.009959	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.290000	0.999000 0.005000	0.001995 0.009975	0.001069 0.005344	0.000000 0.000000	0.000000 0.000000	0.001995 0.009975	
2 10 100 0.300000	0.998044 0.004422	0.003905 0.008820	0.002169 0.004145	0.000870 0.002137	0.000673 0.003364	0.002860 0.009877	
2 10 100 0.310000	0.999003 0.004986	0.001989 0.009947	0.000000 0.000000	0.001989 0.009947	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.320000	0.999005 0.004966	0.001981 0.009907	0.001981 0.009907	0.000991 0.004954	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.330000	0.998116 0.004960	0.003760 0.009896	0.001166 0.005832	0.001781 0.008904	0.003097 0.009896	0.003430 0.009896	
2 10 100 0.340000	0.998389 0.004985	0.003215 0.009946	0.000860 0.004298	0.001431 0.005541	0.000000 0.000000	0.000478 0.001804	
2 10 100 0.350000	0.998220 0.005009	0.003548 0.009992	0.002899 0.009474	0.000000 0.000000	0.001492 0.007461	0.002850 0.008601	
2 10 100 0.360000	0.997253 0.004986	0.005482 0.009933	0.001761 0.003808	0.001031 0.003808	0.001512 0.003774	0.001486 0.003774	
2 10 100 0.370000	0.997208 0.004502	0.005573 0.008976	0.001894 0.005083	0.001792 0.005083	0.002352 0.009920	0.003568 0.008083	
2 10 100 0.380000	0.997971 0.004791	0.004051 0.009554	0.000152 0.000760	0.001336 0.005695	0.001442 0.005337	0.002338 0.009944	
2 10 100 0.390000	0.995681 0.004437	0.008616 0.008832	0.000154 0.000770	0.000515 0.001696	0.001999 0.009997	0.001629 0.007449	
2 10 100 0.400000	0.995720 0.005014	0.008539 0.009974	0.001422 0.001769	0.000906 0.002267	0.001800 0.007417	0.001313 0.006565	
2 10 100 0.410000	0.475592 0.871512	0.594458 0.973560	0.069209 0.124321	0.006397 0.017858	0.000938 0.004527	0.000095 0.000473	
2 10 100 0.420000	0.117879 0.009974	0.986090 0.002333	0.104695 0.005679	0.003064 0.006666	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.430000	0.112164 0.009311	0.987405 0.002068	0.089461 0.009968	0.002549 0.006493	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.440000	0.110655 0.008375	0.987745 0.001841	0.083970 0.009857	0.001762 0.008808	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.450000	0.108357 0.009909	0.988243 0.002145	0.080516 0.007917	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.460000	0.103354 0.009924	0.989304 0.002008	0.073182 0.008508	0.000248 0.001240	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.470000	0.106369 0.008759	0.988673 0.001881	0.067549 0.009829	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
