3 100 4 0.100000	0.999728 0.001292	0.000516 0.002582	0.000339 0.001693	0.000250 0.001249	0.000339 0.001693	0.000161 0.000805	0.000516 0.002582	0.000516 0.002582	0.000428 0.002138	0.000000 0.000000	0.000428 0.002138	
3 100 4 0.110000	0.999276 0.002896	0.001423 0.005784	0.000623 0.003117	0.000712 0.003561	0.000446 0.002228	0.000357 0.001784	0.000535 0.002673	0.000534 0.001784	0.000446 0.002228	0.000890 0.004450	0.000446 0.002228	
3 100 4 0.120000	0.999940 0.000163	0.000118 0.000326	0.000052 0.000262	0.000052 0.000262	0.000052 0.000262	0.000052 0.000262	0.000052 0.000262	0.000052 0.000262	0.000052 0.000262	0.000052 0.000262	0.000000 0.000000	
3 100 4 0.130000	0.999748 0.000808	0.000491 0.001619	0.000235 0.001175	0.000382 0.001175	0.000000 0.000000	0.000324 0.001619	0.000293 0.001175	0.000382 0.001175	0.000293 0.000734	0.000382 0.001619	0.000324 0.001619	
3 100 4 0.140000	0.999998 0.000011	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
3 100 4 0.150000	0.999998 0.000010	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
3 100 4 0.160000	0.999987 0.000065	0.000026 0.000131	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
3 100 4 0.170000	0.999649 0.001748	0.000699 0.003494	0.000165 0.000827	0.000610 0.003049	0.000254 0.001272	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000165 0.000827	0.000000 0.000000	0.000000 0.000000	
3 100 4 0.180000	0.999942 0.000273	0.000109 0.000546	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000109 0.000546	0.000000 0.000000	0.000109 0.000546	0.000000 0.000000	0.000109 0.000546	0.000020 0.000101	
3 100 4 0.190000	0.999514 0.002227	0.000971 0.004448	0.000000 0.000000	0.000081 0.000406	0.000081 0.000406	0.000081 0.000406	0.000081 0.000406	0.000260 0.000893	0.000081 0.000406	0.000000 0.000000	0.000171 0.000448	
3 100 4 0.200000	0.999995 0.000012	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
