4 24 100 0.000000	0.998255 0.005002	0.003482 0.009981	0.000876 0.002476	0.000155 0.000465	0.000000 0.000000	0.000071 0.000212	0.000000 0.000000	0.000155 0.000465	0.000768 0.002305	0.000320 0.000749	0.000000 0.000000	
4 24 100 0.010000	0.974004 0.004875	0.051312 0.009502	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.001906 0.005719	0.000000 0.000000	0.000000 0.000000	
4 24 100 0.020000	0.983898 0.004285	0.031941 0.008432	0.000000 0.000000	0.002200 0.005942	0.000000 0.000000	0.000998 0.002995	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.003279 0.009836	
4 24 100 0.030000	0.993525 0.005022	0.012902 0.009988	0.000000 0.000000	0.000966 0.001814	0.000647 0.001942	0.000484 0.001452	0.001098 0.003295	0.000961 0.002883	0.002639 0.004487	0.000594 0.001781	0.002330 0.006991	
4 24 100 0.040000	0.996333 0.004968	0.007315 0.009906	0.001435 0.004305	0.000554 0.001083	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000175 0.000524	0.000475 0.001424	0.000000 0.000000	0.000541 0.001054	
4 24 100 0.050000	0.998328 0.005010	0.003332 0.009995	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.001102 0.003305	0.001981 0.005942	0.001641 0.004923	0.001948 0.005845	0.000000 0.000000	
4 24 100 0.060000	0.996046 0.004995	0.007888 0.009957	0.000502 0.001506	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000250 0.000751	0.000803 0.002408	0.000000 0.000000	0.000328 0.000985	0.000770 0.001586	
4 24 100 0.070000	0.995772 0.004997	0.008435 0.009952	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000265 0.000796	0.000271 0.000812	0.000000 0.000000	0.000000 0.000000	0.001231 0.003693	0.000258 0.000775	
4 24 100 0.080000	0.986992 0.004752	0.025843 0.009375	0.001270 0.002255	0.000000 0.000000	0.001049 0.003147	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000465 0.001395	0.000000 0.000000	0.000000 0.000000	
4 24 100 0.090000	0.996824 0.005010	0.006338 0.009993	0.000000 0.000000	0.000275 0.000825	0.000000 0.000000	0.000181 0.000543	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000049 0.000148	0.000145 0.000434	
4 24 100 0.100000	0.998247 0.004967	0.003477 0.009969	0.000859 0.002391	0.000370 0.001109	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
4 24 100 0.110000	0.997067 0.004973	0.005853 0.009912	0.000166 0.000498	0.000000 0.000000	0.000913 0.002739	0.000000 0.000000	0.000000 0.000000	0.000275 0.000824	0.001606 0.002863	0.000659 0.001977	0.000000 0.000000	
4 24 100 0.120000	0.997886 0.004965	0.004220 0.009903	0.001294 0.003422	0.000553 0.001658	0.000400 0.001201	0.000869 0.002606	0.000000 0.000000	0.000000 0.000000	0.000398 0.001194	0.000000 0.000000	0.000000 0.000000	
4 24 100 0.130000	0.995305 0.004947	0.009363 0.009856	0.000267 0.000800	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000794 0.001663	0.000625 0.001875	
4 24 100 0.140000	0.996368 0.004995	0.007246 0.009951	0.000000 0.000000	0.000043 0.000130	0.000000 0.000000	0.000000 0.000000	0.000697 0.001551	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
4 24 100 0.150000	0.998319 0.004945	0.003354 0.009867	0.000047 0.000142	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000590 0.001770	0.000000 0.000000	0.001398 0.004193	0.002117 0.006351	0.001362 0.004086	
4 24 100 0.160000	0.972887 0.005046	0.053486 0.009813	0.000000 0.000000	0.002204 0.004957	0.004520 0.007172	0.001084 0.003251	0.000000 0.000000	0.002182 0.006545	0.000000 0.000000	0.000000 0.000000	0.002140 0.004563	
4 24 100 0.170000	0.993782 0.004941	0.012393 0.009824	0.000701 0.002103	0.001277 0.002344	0.000000 0.000000	0.000176 0.000529	0.000000 0.000000	0.000442 0.001325	0.000419 0.001256	0.000000 0.000000	0.000368 0.001105	
4 24 100 0.180000	0.997192 0.005011	0.005604 0.009991	0.001339 0.002915	0.000131 0.000393	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000316 0.000947	0.001392 0.002762	0.002063 0.003594	
4 24 100 0.190000	0.995426 0.004730	0.009123 0.009416	0.000389 0.001167	0.000690 0.002069	0.000000 0.000000	0.000760 0.002279	0.000382 0.001146	0.000889 0.002666	0.001045 0.003136	0.000000 0.000000	0.000000 0.000000	
4 24 100 0.200000	0.998327 0.004897	0.003321 0.009823	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000172 0.000515	0.000000 0.000000	0.000000 0.000000	
4 24 100 0.210000	0.964506 0.001900	0.069727 0.003665	0.006018 0.009329	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.003278 0.007629	0.003496 0.007449	0.001324 0.003973	0.002703 0.008109	0.003545 0.007726	
4 24 100 0.220000	0.998060 0.004945	0.003872 0.009864	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000841 0.002213	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
4 24 100 0.230000	0.989423 0.005016	0.021037 0.009917	0.002219 0.003660	0.000000 0.000000	0.000000 0.000000	0.001815 0.005445	0.001358 0.002844	0.000653 0.001960	0.000499 0.000796	0.002597 0.007790	0.002351 0.007053	
4 24 100 0.240000	0.995927 0.005003	0.008124 0.009971	0.000594 0.000967	0.000000 0.000000	0.000000 0.000000	0.000800 0.001654	0.000000 0.000000	0.002086 0.006259	0.000184 0.000552	0.000969 0.002907	0.000448 0.001344	
4 24 100 0.250000	0.997467 0.004914	0.005055 0.009799	0.000377 0.001131	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000249 0.000746	0.000166 0.000497	
